schema_version,method,lattice,bath_budget,u_over_d,t_over_d,direction,quasiparticle_weight_slope,quasiparticle_weight_matsubara,double_occupancy,kinetic_energy_over_d,total_energy_over_d,sum_r_squared,self_energy_linear_term,iterations,convergence_diff,converged,crashed,mode_energies,mode_weights,self_energy_pole_positions,self_energy_pole_weights,wall_seconds,source_file
gdmft.reference.v1,gem-gga,bethe,1,1.7,0.001,up,0.7492962152596455,0.7492962142028845,0.12482413276247105,-0.31800329100359553,-0.10580226530739475,0.7492962142028845,-0.334585683265221,11,5.141247390039183e-07,true,false,8.42764e-16,0.749296,,,0.21,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,1.8,0.001,down,0.718932715858198,0.7189327161629087,0.11746059109473918,-0.30511671097640103,-0.09368764700587051,0.7189327161629085,-0.3909507489618851,12,4.871546552820405e-07,true,false,6.15178e-16,0.718933,,,0.27,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,1.8,0.001,up,0.7189336368638962,0.7189336372474552,0.11746073476949608,-0.3051171018942825,-0.09368777930918953,0.7189336372474554,-0.3909489669013806,12,4.3191163578981673e-07,true,false,9.67453e-16,0.718934,,,0.23,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,1.9,0.001,down,0.686834997770864,0.6868349987652097,0.11009716565558798,-0.29149409911627083,-0.08230948437065366,0.6868349987652097,-0.4559537615261271,13,4.594454190431918e-07,true,false,9.05426e-16,0.686835,,,0.28,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,1.9,0.001,up,0.6868364747185243,0.686836474952877,0.11009739485750257,-0.29149472562627393,-0.08230967539701906,0.686836474952877,-0.4559506323082343,12,8.981881505221168e-07,true,false,4.79315e-16,0.686836,,,0.41,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.0,0.001,down,0.6530019741686424,0.6530019737337209,0.10273368754160758,-0.27713498979426954,-0.07166761471105437,0.653001973733721,-0.5313889394272744,13,4.878769044314168e-07,true,false,8.72944e-16,0.653002,,,0.29,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.0,0.001,up,0.6530035956086045,0.6530035954686636,0.10273393757425948,-0.2771356780768747,-0.07166780292835576,0.6530035954686634,-0.5313851362216404,13,8.839877309041455e-07,true,false,8.76664e-16,0.653004,,,0.25,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.05,0.001,down,0.6354344426377423,0.635434442577959,0.09905188647332076,-0.26967912899989016,-0.06662276172958262,0.635434442577959,-0.573726466483305,13,7.206268965997964e-07,true,false,9.07412e-16,0.635434,,,0.34,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.05,0.001,up,0.6354361595641477,0.6354361610399812,0.0990521502802359,-0.2696798583350324,-0.06662295026054882,0.6354361610399812,-0.5737222105260085,13,6.723758649851419e-07,true,false,6.32661e-16,0.635436,,,0.25,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.1,0.001,down,0.6174335707681171,0.617433571151831,0.09537014756978539,-0.2620393484133578,-0.061762038516808476,0.6174335711518311,-0.6196074310220707,14,5.36544089158042e-07,true,false,6.61905e-16,0.617434,,,0.3,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.1,0.001,up,0.6174355346260608,0.6174355335838126,0.0953704473954455,-0.2620401812927721,-0.06176224176233655,0.6174355335838126,-0.6196022833277004,13,9.868986394767632e-07,true,false,1.59161e-16,0.617436,,,0.27,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.15,0.001,down,0.5989982341515125,0.5989982332906061,0.09168829876359112,-0.25421516919904313,-0.05708532685732223,0.5989982332906061,-0.6694540057430294,14,8.098894010988289e-07,true,false,3.46967e-16,0.598998,,,0.31,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.15,0.001,up,0.5990003334464152,0.599000335069889,0.091688618215478,-0.2542160612198275,-0.05708553205654979,0.5990003350698891,-0.6694481479435628,14,7.516656811423772e-07,true,false,4.8688e-16,0.599,,,0.27,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.2,0.001,down,0.5801295713625242,0.5801295717317497,0.08800651455927773,-0.2462070753228265,-0.05259274329241548,0.5801295717317498,-0.7237528454460462,15,6.533621130788703e-07,true,false,5.03567e-16,0.58013,,,0.36,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.2,0.001,up,0.5801313424495622,0.5801313419339983,0.08800678211700456,-0.2462078266189523,-0.05259290596154223,0.5801313419339983,-0.7237475856178968,15,6.044927962634006e-07,true,false,6.87679e-16,0.580131,,,0.29,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.25,0.001,down,0.560826920165253,0.5608269184358544,0.0843246934795549,-0.23801478205537951,-0.04828422172638097,0.5608269184358544,-0.7830813164050663,16,5.558511979586456e-07,true,false,3.99556e-16,0.560827,,,0.34,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.25,0.001,up,0.5608291061340565,0.560829105012584,0.08432502201517555,-0.23801571006703107,-0.04828441053288607,0.560829105012584,-0.7830743644760765,15,9.290002813688858e-07,true,false,5.3419e-16,0.560829,,,0.3,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.3,0.001,down,0.5410896685608154,0.5410896702085967,0.08064274607277053,-0.22963803196663532,-0.04415971599926313,0.5410896702085968,-0.8481225110331299,16,8.784016629626024e-07,true,false,1.80553e-16,0.54109,,,0.33,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.3,0.001,up,0.5410922689645876,0.5410922696147421,0.0806431342013141,-0.22963913518975537,-0.04415992652673298,0.5410922696147421,-0.8481136326564052,16,8.07160976057375e-07,true,false,5.67628e-16,0.541092,,,0.31,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.35,0.001,down,0.5209190058508932,0.5209190064708897,0.07696084967981683,-0.22107732391864024,-0.040219327171070685,0.5209190064708897,-0.9196842264880625,17,8.064571657140363e-07,true,false,3.31743e-16,0.520919,,,0.36,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.35,0.001,up,0.5209215003482748,0.5209215024089756,0.07696121992713363,-0.22107838322992648,-0.04021951640116245,0.5209215024089757,-0.919675028532225,17,7.376047478357961e-07,true,false,6.19121e-16,0.520922,,,0.32,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.4,0.001,down,0.5003142143369393,0.5003142144538041,0.07327889821744636,-0.21233235336070552,-0.03646299763883426,0.5003142144538042,-0.9987439315345168,18,7.793174731096641e-07,true,false,3.07002e-16,0.500314,,,0.37,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.4,0.001,up,0.5003167377244673,0.5003167399268917,0.0732792703023606,-0.21233342520870113,-0.03646317648303571,0.5003167399268919,-0.9987338423777781,18,7.096989182997504e-07,true,false,5.44517e-16,0.500317,,,0.35,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.45,0.001,down,0.479275220174123,0.4792752196622171,0.06959688179470797,-0.20340308620086262,-0.0328907258038281,0.4792752196622172,-1.0864838384608708,19,7.922823676009827e-07,true,false,5.48903e-16,0.479275,,,0.39,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.45,0.001,up,0.47927791068702,0.479277910718516,0.06959727548840872,-0.20340422832683275,-0.03289090338023137,0.47927791071851594,-1.0864721232423094,19,7.182224061041964e-07,true,false,2.85373e-16,0.479278,,,0.35,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.5,0.001,down,0.4578019161852235,0.4578019144650184,0.0659147859928468,-0.19428947372974736,-0.029502508747630385,0.45780191446501844,-1.1843508478303053,20,8.471225177997255e-07,true,false,4.1676e-16,0.457802,,,0.4,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.5,0.001,up,0.4578049317822357,0.4578049313462603,0.06591522415535492,-0.19429075414351044,-0.029502693755123155,0.4578049313462604,-1.1843364532123197,20,7.63000578829498e-07,true,false,2.89309e-16,0.457805,,,0.37,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.55,0.001,down,0.43589414945571975,0.43589414954674877,0.06223259079688374,-0.18499144882847207,-0.02629834229641856,0.43589414954674877,-1.2941349431732898,21,9.508213045794633e-07,true,false,2.04538e-16,0.435894,,,0.42,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.55,0.001,up,0.4358977039331128,0.43589770507754955,0.06223310334748255,-0.1849929578575821,-0.02629854432150161,0.43589770507754955,-1.29411623037128,21,8.509398079503683e-07,true,false,7.54889e-16,0.435898,,,0.4,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.6,0.001,down,0.41355247993000416,0.4135524800040181,0.05855037753904544,-0.17550924239977622,-0.023278260798258066,0.4135524800040181,-1.418072792092273,23,7.500662103643307e-07,true,false,4.88483e-16,0.413552,,,0.47,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.6,0.001,up,0.41355611420041954,0.4135561143426422,0.058550897457574615,-0.17551078488074182,-0.02327845149104782,0.41355611434264217,-1.418051542024775,22,9.958322725323043e-07,true,false,5.45705e-16,0.413556,,,0.4,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.65,0.001,down,0.3907752339445244,0.3907752353117546,0.05486790904758725,-0.16584213949117305,-0.020442180515066827,0.39077523531175457,-1.5590157963879547,24,9.516862901071121e-07,true,false,5.25554e-16,0.390775,,,0.49,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.65,0.001,up,0.3907791740223106,0.39077917378025007,0.054868468090205874,-0.16584381105630355,-0.020442370617257982,0.39077917378025007,-1.5589900053433703,24,8.386317086328532e-07,true,false,3.33074e-16,0.390779,,,0.43,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.7,0.001,down,0.3675635037346842,0.3675635038410975,0.05118534394607012,-0.1559905943620348,-0.017790165707645467,0.36756350384109754,-1.720618313705903,26,8.938289288717982e-07,true,false,4.23946e-16,0.367564,,,0.57,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,2.7,0.001,up,0.3675674036300144,0.3675674035098295,0.0511858930948111,-0.1559922494667339,-0.01779033811074393,0.36756740350982947,-1.720589449584471,26,7.800705968952215e-07,true,false,7.11117e-17,0.367567,,,0.46,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
