Nb,U_over_D,route,Z,Z_single_point,Z_converged,Z_by_npts,docc,ekin,etot,n_imp,chi2_normalized,scipy_cost_half,chi2_common_norm,fit_rel_rms,dDelta,iters,fixed_point_converged,fit_optimizer_converged,bath_approximation_quality,Z_estimator_converged,accuracy_qualified,accepted,temperature_semantics,T_over_D,bath_fit_beta,eps,V,wall,direction,code_commit,dirty
1,2.5,cg,0.035467802387996135,0.033979419326509636,0,2:0.03578;3:0.03394;4:0.03421;6:0.03547,0.007436058433578133,-0.11147012456446627,-0.09287997848052093,0.9999999999999998,1.0671314303827752,0.5335657151913876,0.004784462544655721,0.3321982909361053,0.0,4,1,1,coarse,0,0,1,ground_state,0,200,0,-0.0779698,0.02,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,2.8,cg,0.023568506387398828,0.0221971688089407,0,2:0.02367;3:0.02218;4:0.02244;6:0.02357,0.0048705818002778845,-0.09462623269594803,-0.08098860365516995,1.0,0.6311993766008721,0.31559968830043605,0.003923839034689528,0.31901100344693956,0.0,5,1,1,coarse,0,0,1,ground_state,0,200,0,-0.0701168,0.02,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,3.0,cg,0.021163720397230322,0.019983200527312703,0,2:0.02127;3:0.01997;4:0.02019;6:0.02116,0.004388568400627118,-0.08756174091568691,-0.07439603571380556,0.9999999999999992,0.7102871896420428,0.3551435948210214,0.003793313449104522,0.3414711718061888,0.0,4,1,1,coarse,0,0,1,ground_state,0,200,0,-0.0712057,0.02,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,3.2,cg,0.020445900942940236,0.019465057861237558,0,2:0.02060;3:0.01944;4:0.01962;6:0.02045,0.0042776687001643155,-0.08209777730646937,-0.06840923746594356,0.9999999999999993,1.0279043565158112,0.5139521782579056,0.003954263139872663,0.386356990737056,0.0,3,1,1,coarse,0,0,1,ground_state,0,200,0,-0.0749615,0.01,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,3.2,cg,0.02141658076574322,0.020466689398357146,0,2:0.02160;3:0.02044;4:0.02062;6:0.02142,0.004497426418369346,-0.08265435603714888,-0.06826259149836697,1.0,1.1029481226474047,0.5514740613237024,0.003961137510406984,0.3842864603828078,0.0,3,1,1,coarse,0,0,1,ground_state,0,200,0,-0.0769146,0.01,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,3.0,cg,0.021163719196282623,0.0199831992824859,0,2:0.02127;3:0.01997;4:0.02019;6:0.02116,0.004388568127506265,-0.08756174021804036,-0.07439603583552157,1.0000000000000002,0.7102871384141715,0.35514356920708573,0.0037933134467410985,0.3414711764836687,0.0,4,1,1,coarse,0,0,1,ground_state,0,200,0,-0.0712057,0.02,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,2.8,cg,0.02235632700723413,0.020937663251792943,0,2:0.02242;3:0.02093;4:0.02119;6:0.02236,0.004594507860192479,-0.09391399614024265,-0.08104937413170371,0.9999999999999996,0.55972911725994,0.27986455862997,0.0038267558053717977,0.31544753185769914,0.0,6,1,1,coarse,0,0,1,ground_state,0,200,0,-0.068043,0.03,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,2.5,cg,0.029036889942853025,0.027322857785379757,0,2:0.02915;3:0.02730;4:0.02763;6:0.02904,0.005985203481735233,-0.10776616285247936,-0.09280315414814128,0.9999999999999999,0.6530444552305937,0.32652222761529687,0.0043341228111851956,0.30914820775439883,0.0,9,1,1,coarse,0,0,1,ground_state,0,200,0,-0.0696375,0.04,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,2.4,cg,0.032377478655098255,0.030563384285894023,0,2:0.03253;3:0.03054;4:0.03088;6:0.03238,0.00668950556787505,-0.1134934088239685,-0.09743859546106837,1.0000000000000002,0.72147608341718,0.36073804170859,0.004554254820509129,0.31041743610573524,0.0,12,1,1,coarse,0,0,1,ground_state,0,200,0,-0.0708301,0.05,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,2.0,cg,0.05523816621113593,0.05303042649486439,0,2:0.05573;3:0.05297;4:0.05337;6:0.05524,0.011538640154360662,-0.14442635549755942,-0.12134907518883808,1.0000000000000004,1.3419226104133826,0.6709613052066913,0.0057747998575461,0.33785451427680757,8.522458960769207e-09,40,1,1,coarse,0,0,1,ground_state,0,200,0,-0.0787072,0.17,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,1.5,cg,0.1123752838650696,0.10934531142488708,0,2:0.11356;3:0.10920;4:0.10974;6:0.11238,0.023426253984824716,-0.20384611840606773,-0.16870673742883066,1.0000000000000002,3.6785938885978617,1.8392969442989309,0.008918653991499484,0.4395043540310896,0.0,4,1,1,coarse,0,0,1,ground_state,0,200,0,-0.0874396,0.01,down,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
