lattice,N_b,U_over_D,direction,temperature_semantics,T_over_D,bath_fit_beta,llk_role,Z,docc,ekin,etot,n_imp,fit_cost_half_chi2,dDelta,iters,converged,bath_optimizer
bethe,1,0.3,down,ground_state,0,200,reproduction,0.7795579786865637,0.15726311079953245,-0.4078462059915477,-0.360667272751688,0.9999999999999994,5.785006100450364,6.07314148970417e-09,15,1,levenberg_marquardt
bethe,1,0.2,down,ground_state,0,200,reproduction,0.8887398385748119,0.1857852953989477,-0.4167644470569975,-0.37960738797720794,0.9999999999999993,5.975259987345309,9.040897475109944e-09,12,1,levenberg_marquardt
bethe,1,0.1,down,ground_state,0,200,reproduction,0.9697215124824259,0.21710554295372267,-0.42226003598414524,-0.40054948168877297,1.0000000000000002,6.0926312984262,8.798857170644325e-09,8,1,levenberg_marquardt
bethe,1,0.0,down,ground_state,0,200,reproduction,1.0000000000000213,0.2500000000000001,-0.4241164756700848,-0.4241164756700848,1.0000000000000004,6.13209021174084,0.0,3,1,levenberg_marquardt
bethe,3,0.0,up,ground_state,0,200,reproduction,1.0000000000007492,0.24999999999999994,-0.4241164756700895,-0.4241164756700895,0.9999999999999998,0.047156432747618215,2.5768796651072684e-14,3,1,levenberg_marquardt
bethe,3,0.1,up,ground_state,0,200,reproduction,0.9962404868953892,0.241709491281917,-0.4237032069522944,-0.39953225782410273,1.0,0.04719196156207979,7.74154618188306e-09,6,1,levenberg_marquardt
bethe,3,0.2,up,ground_state,0,200,reproduction,0.9850618727930613,0.23342078234629138,-0.42246361126901966,-0.3757794547997614,1.0000000000000002,0.04730141698773142,7.851101324618655e-09,10,1,levenberg_marquardt
bethe,3,0.3,up,ground_state,0,200,reproduction,0.9667580910554735,0.225135781135844,-0.42039833806337745,-0.35285760372262426,0.9999999999999996,0.047485710979598125,5.185427864873328e-09,13,1,levenberg_marquardt
bethe,3,0.4,up,ground_state,0,200,reproduction,0.941798993497942,0.216856218799387,-0.4175084246146239,-0.3307659370948691,0.9999999999999983,0.047748709145793065,8.728907485711094e-09,14,1,levenberg_marquardt
bethe,3,0.5,up,ground_state,0,200,reproduction,0.9108024677129851,0.20858363396114044,-0.41379521072772485,-0.30950339374715463,1.0000000000000004,0.04809555854646817,5.918317280695365e-09,16,1,levenberg_marquardt
bethe,3,0.6,up,ground_state,0,200,reproduction,0.8744999684689484,0.20031937350727508,-0.4092602397303506,-0.2890686156259855,1.000000000000001,0.04853249000848424,6.998691515214283e-09,17,1,levenberg_marquardt
bethe,3,0.7,up,ground_state,0,200,reproduction,0.8336980381661379,0.19206443542127236,-0.4039050648323107,-0.26945996003742007,1.0000000000000002,0.049066907368234845,7.724593742430886e-09,18,1,levenberg_marquardt
bethe,3,0.8,up,ground_state,0,200,reproduction,0.7892397659024835,0.18381937124754333,-0.3977309927024363,-0.2506754957044016,1.0000000000000002,0.04970706914729781,8.308195131867581e-09,19,1,levenberg_marquardt
bethe,3,0.9,up,ground_state,0,200,reproduction,0.7419685844430896,0.17558410362887666,-0.3907386874809779,-0.2327129942149889,0.9999999999999973,0.0504617848082352,9.001746348324964e-09,20,1,levenberg_marquardt
bethe,3,1.0,up,ground_state,0,200,reproduction,0.6926965378535468,0.16735767059156276,-0.38292757465686605,-0.2155699040653033,0.9999999999999998,0.051339941747267755,5.58475554690575e-09,22,1,levenberg_marquardt
bethe,3,1.1,up,ground_state,0,200,reproduction,0.6421782537980172,0.1591378592299364,-0.37429493770063277,-0.1992432925477027,0.9999999999999976,0.05234977094488755,6.970422017360924e-09,23,1,levenberg_marquardt
bethe,3,1.2,up,ground_state,0,200,reproduction,0.591090414934906,0.1509206075328455,-0.3648344719501129,-0.18372974291069832,0.9999999999999989,0.05349778302265622,9.589757543615527e-09,24,1,levenberg_marquardt
bethe,3,1.3,up,ground_state,0,200,reproduction,0.5400164202813719,0.1426990794501203,-0.3545339621914325,-0.16902515890627612,1.0000000000000009,0.05478700414392022,8.318000732643789e-09,26,1,levenberg_marquardt
bethe,3,1.4,up,ground_state,0,200,reproduction,0.4894342619845156,0.13446210233509537,-0.34337135826090903,-0.15512441499177554,1.0000000000000007,0.05621407428641569,8.761808056867482e-09,28,1,levenberg_marquardt
bethe,3,1.5,up,ground_state,0,200,reproduction,0.4397043942535837,0.12619138793200402,-0.33130779650537284,-0.14202071460736682,0.9999999999999992,0.05776415262859277,7.2932332395581735e-09,31,1,levenberg_marquardt
bethe,3,1.6,up,ground_state,0,200,reproduction,0.39105230173017846,0.11785630234790025,-0.3182744408296649,-0.12970435707302447,1.0000000000000007,0.05940126864484135,8.647631610791973e-09,34,1,levenberg_marquardt
bethe,3,1.7,up,ground_state,0,200,reproduction,0.34353390256428507,0.10940310003794931,-0.3041454802657686,-0.11816021020125478,0.9999999999999984,0.061048319439693105,8.880691182433664e-09,38,1,levenberg_marquardt
