M_g,gauge,branch,U_over_D,T_over_D,observable,value_continuum,rel_Nk64,scaleaware_Nk64,gate_tol,Nk64_passes,note
1,bare_native,insulator,1.0,0.001,Z_pole,2.7202998062093456e-08,23.39366808000275,1.2727558148911447e-05,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,1.0,0.001,Z_mats,2.7202998062093356e-08,23.393668080002723,1.2727558148911384e-05,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,1.0,0.001,D_occ,7.116630596615071e-12,-0.006017717876969306,-8.565175033007449e-13,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,1.0,0.001,n,1.0000000000000004,-4.440892098500624e-16,-4.440892098500624e-16,0.001,1,
1,bare_native,insulator,1.0,0.001,Omega_over_D,-0.5043200131770789,-5.811955389906968e-08,5.811955389906968e-08,0.001,1,
1,bare_native,insulator,1.0,0.001,E_kin_over_D,-0.007252873426549464,-8.079632787601813e-06,1.172011078829499e-06,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,1.0,0.001,E_pot_over_D,7.116630596615071e-12,-0.006017717876969306,-8.565175033007449e-13,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,1.0,0.001,E_tot_over_D,-0.007252873419432834,-8.079626890956963e-06,1.17201022232713e-06,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,1.0,0.01,Z_pole,0.00021638291794523877,0.011999280080361283,5.192878474061507e-05,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,1.0,0.01,Z_mats,0.00021638291794523788,0.011999280080361583,5.192878474061615e-05,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,1.0,0.01,D_occ,1.0619764806974188e-09,0.00033454440083209434,7.105565708653884e-12,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,1.0,0.01,n,1.0,2.220446049250313e-16,2.220446049250313e-16,0.001,1,
1,bare_native,insulator,1.0,0.01,Omega_over_D,-0.5106185294391352,7.448775985098884e-07,-7.448775985098884e-07,0.001,1,
1,bare_native,insulator,1.0,0.01,E_kin_over_D,-0.0073732118093661385,0.00010313360506603493,-1.5208518296307844e-05,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,1.0,0.01,E_pot_over_D,1.0619764806974188e-09,0.00033454440083209434,7.105565708653884e-12,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,1.0,0.01,E_tot_over_D,-0.007373210747389658,0.0001031335717355291,-1.5208511190741708e-05,0.001,1,near-Z=0: use scale-aware
1,bare_native,insulator,2.0,0.001,Z_pole,8.780482526822933e-09,527.5959278562494,9.26509365152946e-05,0.001,0,near-Z=0: use scale-aware
1,bare_native,insulator,2.0,0.001,Z_mats,8.780482526822896e-09,527.5959278562491,9.265093651529416e-05,0.001,0,near-Z=0: use scale-aware
