lattice,M_g,M_h,gauge,solver_route,quadrature,integration_nodes,Nk,n_eps,branch,U_over_D,T_over_D,U_raw,T_raw,Z_pole,Z_mats,D_occ,n,Omega,Omega_over_D,E_kin,E_kin_over_D,E_pot,E_pot_over_D,E_tot_over_D,resnorm,converged,dist_to_spinodal_UD,norm_error,roundtrip_error,floor_limited,equation_accepted,physical,gated,branch_continuous,selected
square,3,2,bare_native,bare_native,uniform_kmesh,4096,64,,metal,2.0,0.001,4.0,0.002,0.2934967701118728,0.293496770111872,0.07712686873028632,1.0000000000000004,-2.164347853315544,-1.082173926657772,-0.4731139897428287,-0.23655699487141435,0.3085074749211453,0.15425373746057264,-0.08230325741084171,2.0221660131282623e-05,1,1.2,0.0,3.552713678800501e-15,0,,,,,
square,3,2,bare_native,bare_native,continuum_elliptic_dos,4001,,4001,metal,2.0,0.001,4.0,0.002,0.29391736490742026,0.2939173649074191,0.07718063331368503,1.0000000000000002,-2.1643861709514454,-1.0821930854757227,-0.4734035286622084,-0.2367017643311042,0.30872253325474014,0.15436126662737007,-0.08234049770373414,2.0159803368390957e-05,1,1.2,2.220446049250313e-16,4.440892098500626e-15,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,256,16,,metal,2.5,0.001,5.0,0.002,0.09410815529611201,0.09410815529611163,0.037515610041606494,0.9999999999999993,-2.6065396516004995,-1.3032698258002497,-0.2942846486715747,-0.14714232433578736,0.18757805020803248,0.09378902510401624,-0.05335329923177112,3.0234439692142503e-05,1,0.7,0.0,3.1086244689504383e-15,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,1024,32,,metal,2.5,0.001,5.0,0.002,0.09814202031067545,0.09814202031067512,0.03817107073959091,1.0000000000000009,-2.606761031794054,-1.303380515897027,-0.29790210707695747,-0.14895105353847873,0.19085535369795456,0.09542767684897728,-0.05352337668950145,2.9327923063360396e-05,1,0.7,2.220446049250313e-16,3.552713678800501e-15,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,4096,64,,metal,2.5,0.001,5.0,0.002,0.09898370780630844,0.09898370780630812,0.03830557761817034,1.0000000000000016,-2.6067875854979903,-1.3033937927489951,-0.29863981957423735,-0.14931990978711868,0.1915278880908517,0.09576394404542585,-0.05355596574169283,2.8805643343022887e-05,1,0.7,2.220446049250313e-16,3.6637359812630166e-15,0,,,,,
square,3,2,bare_native,bare_native,continuum_elliptic_dos,4001,,4001,metal,2.5,0.001,5.0,0.002,0.09905803678135865,0.09905803678135827,0.03831797033416122,1.0000000000000002,-2.6067896352585826,-1.3033948176292913,-0.29870957978012447,-0.14935478989006223,0.1915898516708061,0.09579492583540306,-0.05355986405465918,2.885590189412534e-05,1,0.7,0.0,3.774758283725532e-15,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,256,16,,metal,3.0,0.001,6.0,0.002,0.0001962576404391725,0.0001962576404391715,0.014278704391364416,0.9999999999999994,-3.085615390083067,-1.5428076950415335,-0.1703393837655688,-0.0851696918827844,0.0856722263481865,0.04283611317409325,-0.04233357870869116,2.5118980050692062e-05,1,0.2,2.220446049250313e-16,1.1945999744966684e-13,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,1024,32,,metal,3.0,0.001,6.0,0.002,0.012677970666170513,0.012677970666170468,0.014051578292841815,1.0000000000000009,-3.082953314865474,-1.541476657432737,-0.17119305964805762,-0.08559652982402881,0.08430946975705089,0.042154734878525446,-0.04344179494550336,0.005564775334991122,0,0.2,0.0,1.021405182655144e-14,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,4096,64,,metal,3.0,0.001,6.0,0.002,0.012677711628006037,0.012677711628005994,0.014051857067092171,1.0000000000000004,-3.082953615687508,-1.541476807843754,-0.17119549624986763,-0.08559774812493381,0.08431114240255302,0.04215557120127651,-0.0434421769236573,0.005564912020547996,0,0.2,0.0,1.021405182655144e-14,0,,,,,
square,3,2,bare_native,bare_native,continuum_elliptic_dos,4001,,4001,metal,3.0,0.001,6.0,0.002,0.012677872798103599,0.012677872798103552,0.014052619618801686,1.0000000000000016,-3.0829540611903035,-1.5414770305951517,-0.1711993057034884,-0.0855996528517442,0.08431571771281011,0.04215785885640506,-0.043441793995339144,0.0055650260326332,0,0.2,0.0,1.0658141036401503e-14,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,256,16,,insulator,1.0,0.001,2.0,0.002,6.04322065127296e-12,6.043220651272939e-12,0.1722743661097446,1.0,-1.280465797054564,-0.640232898527282,-0.6293684496200036,-0.3146842248100018,0.3445487322194892,0.1722743661097446,-0.1424098587002572,0.0022623541963204224,0,2.2,0.0,3.3808011945524186e-11,1,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,1024,32,,insulator,1.0,0.001,2.0,0.002,6.043059196797144e-12,6.043059196797121e-12,0.1722732717529461,0.9999999999999998,-1.2804656327780393,-0.6402328163890196,-0.6293659951021843,-0.31468299755109214,0.3445465435058922,0.1722732717529461,-0.14240972579814604,0.0022623874822715858,0,2.2,4.440892098500626e-16,3.8869518714790274e-11,1,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,4096,64,,insulator,1.0,0.001,2.0,0.002,6.0429263754459226e-12,6.042926375445892e-12,0.17227229624172644,0.9999999999999998,-1.2804654734925087,-0.6402327367462544,-0.6293638043115094,-0.3146819021557547,0.34454459248345287,0.17227229624172644,-0.14240960591402826,0.0022623874511287344,0,2.2,2.220446049250313e-16,3.4060032572114096e-11,1,,,,,
square,3,2,bare_native,bare_native,continuum_elliptic_dos,4001,,4001,insulator,1.0,0.001,2.0,0.002,6.042987025462466e-12,6.042987025462435e-12,0.172272766950116,1.0000000000000002,-1.2804656150055784,-0.6402328075027892,-0.6293649230447449,-0.31468246152237245,0.344545533900232,0.172272766950116,-0.14240969457225644,0.002262396613862478,0,2.2,0.0,4.0084491281788814e-11,1,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,256,16,,insulator,2.0,0.001,4.0,0.002,1.9117442415506114e-09,1.911744241550604e-09,0.033153956690501675,0.9999999999999996,-2.1291322921373066,-1.0645661460686533,-0.2615432819986367,-0.13077164099931834,0.1326158267620067,0.06630791338100335,-0.064463727618315,7.313919221867584e-05,1,1.2,2.220446049250313e-16,9.57101065068855e-12,1,,,,,
