M_g,gauge,branch,U_over_D,T_over_D,observable,value_continuum,continuum_nodes,value_Nk16,abs_Nk16,rel_Nk16,scaleaware_Nk16,value_Nk32,abs_Nk32,rel_Nk32,scaleaware_Nk32,value_Nk64,abs_Nk64,rel_Nk64,scaleaware_Nk64
1,R_native,insulator,2.5,0.001,Omega_over_D,-1.2552887950266225,4001,-1.2552889241323726,-1.2910575009073e-07,1.0284944038554243e-07,-1.0284944038554243e-07,-1.25528875360936,4.141726250850297e-08,-3.2994210314467584e-08,3.2994210314467584e-08,-1.2552888706647032,-7.563808068766775e-08,6.025552126916228e-08,-6.025552126916228e-08
1,R_native,insulator,2.5,0.001,E_kin_over_D,-0.00918954923804861,4001,-0.009189807300730154,-2.5806268154349166e-07,2.8082191504562953e-05,-5.161253630869833e-06,-0.009189466449243603,8.27888050076303e-08,-9.009016967323025e-06,1.6557761001526061e-06,-0.009189700426371553,-1.5118832294262752e-07,1.6452202281766344e-05,-3.0237664588525504e-06
1,R_native,insulator,2.5,0.001,E_pot_over_D,1.0882896906201451e-11,4001,1.0887692936801686e-11,4.796030600234352e-15,0.00044069429689271505,9.592061200468705e-14,1.0889742013459048e-11,6.8451072575967804e-15,0.0006289784160039411,1.369021451519356e-13,1.0882998595183451e-11,1.0168898200002397e-16,9.34392587529503e-06,2.0337796400004794e-15
1,R_native,insulator,2.5,0.001,E_tot_over_D,-0.009189549227165713,4001,-0.00918980728984246,-2.5806267674698125e-07,2.8082191015867078e-05,-5.161253534939625e-06,-0.00918946643835386,8.278881185284914e-08,-9.00901772288381e-06,1.6557762370569828e-06,-0.009189700415488554,-1.5118832284027883e-07,1.6452202290112668e-05,-3.0237664568055767e-06
1,R_native,insulator,2.5,0.01,Z_pole,8.877040535977991e-08,4001,9.309493775865652e-08,4.3245323988766065e-09,0.04871592487777425,8.649064797753213e-08,9.079524987409943e-08,2.024844514319514e-09,0.022809905014097527,4.0496890286390277e-08,9.71819626993602e-08,8.41155733958029e-09,0.09475632453731475,1.682311467916058e-07
1,R_native,insulator,2.5,0.01,Z_mats,8.877040535977965e-08,4001,9.309493775865623e-08,4.32453239887658e-09,0.0487159248777741,8.64906479775316e-08,9.07952498740991e-08,2.0248445143194477e-09,0.02280990501409685,4.049689028638895e-08,9.718196269935978e-08,8.411557339580131e-09,0.09475632453731325,1.6823114679160263e-07
1,R_native,insulator,2.5,0.01,D_occ,4.335121416991155e-12,4001,4.336571220546756e-12,1.449803555601173e-15,0.00033443205302596276,2.899607111202346e-14,4.336294521457594e-12,1.1731044664387167e-15,0.00027060475442298554,2.3462089328774334e-14,4.3332187136279965e-12,-1.902703363158614e-15,-0.0004389042843647062,-3.8054067263172283e-14
1,R_native,insulator,2.5,0.01,n,1.0,4001,1.0,0.0,0.0,0.0,0.9999999999999999,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,1.0,0.0,0.0,0.0
1,R_native,insulator,2.5,0.01,Omega_over_D,-1.2615043989633392,4001,-1.2615044115480138,-1.258467463571833e-08,9.975926081637116e-09,-9.975926081637116e-09,-1.2615043620636932,3.689964600539497e-08,-2.9250509182304735e-08,2.9250509182304735e-08,-1.2615043258495504,7.311378880103803e-08,-5.7957617001669134e-08,5.7957617001669134e-08
1,R_native,insulator,2.5,0.01,E_kin_over_D,-0.009144133630079553,4001,-0.00914415878369291,-2.5153613357128957e-08,2.7507924068811012e-06,-5.030722671425791e-07,-0.009144059870851476,7.375922807771607e-08,-8.066289389635086e-06,1.4751845615543213e-06,-0.009143987483440115,1.4614663943791906e-07,-1.5982557271163545e-05,2.922932788758381e-06
1,R_native,insulator,2.5,0.01,E_pot_over_D,1.0837803542477888e-11,4001,1.084142805136689e-11,3.624508889002528e-15,0.0003344320530259255,7.249017778005057e-14,1.0840736303643984e-11,2.932761166096388e-15,0.0002706047544229483,5.865522332192776e-14,1.0833046784069992e-11,-4.7567584078961315e-15,-0.00043890428436466896,-9.513516815792263e-14
1,R_native,insulator,2.5,0.01,E_tot_over_D,-0.00914413361924175,4001,-0.009144158772851482,-2.5153609731556892e-08,2.750792013649805e-06,-5.030721946311378e-07,-0.00914405986001074,7.375923101113346e-08,-8.066289719993148e-06,1.4751846202226693e-06,-0.009143987472607069,1.4614663468130729e-07,-1.5982556769924592e-05,2.9229326936261457e-06
1,R_native,insulator,3.0,0.001,Z_pole,7.076955288452903e-08,4001,7.180356365044939e-08,1.034010765920362e-09,0.014610955188702451,2.0680215318407238e-08,7.149212599700572e-08,7.225731124766965e-10,0.010210225768356644,1.445146224953393e-08,7.142789415489874e-08,6.583412703697118e-10,0.009302606043645531,1.3166825407394236e-08
1,R_native,insulator,3.0,0.001,Z_mats,7.076955288452881e-08,4001,7.180356365044914e-08,1.0340107659203222e-09,0.014610955188701934,2.0680215318406444e-08,7.149212599700543e-08,7.225731124766171e-10,0.010210225768355553,1.4451462249532343e-08,7.14278941548985e-08,6.583412703696853e-10,0.009302606043645186,1.3166825407393706e-08
1,R_native,insulator,3.0,0.001,D_occ,2.68719492438545e-12,4001,2.6894301893848266e-12,2.235264999376597e-15,0.0008318209368037536,4.470529998753194e-14,2.6889371624169354e-12,1.7422380314853841e-15,0.0006483482145917741,3.484476062970768e-14,2.6901136868712198e-12,2.9187624857697512e-15,0.0010861744562267882,5.837524971539502e-14
1,R_native,insulator,3.0,0.001,n,1.0,4001,1.0,0.0,0.0,0.0,0.9999999999999999,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,0.9999999999999999,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
